"Year","Month","Day","Line","NumberOfOutliers"
2013,10,27,914,1
2013,10,5,583,1
2013,10,5,584,1
2013,10,27,910,6
2013,12,3,895,1
2013,10,9,344,1
2013,10,9,345,1
2013,10,9,342,1
2013,12,23,162,1
2013,11,3,623,3
2013,10,11,125,3
2013,10,11,126,4
2013,12,4,239,1
2013,10,11,128,2
2013,12,13,222,1
2013,12,31,315,1
2013,12,30,382,7
2013,12,30,388,1
2013,10,14,298,3
2013,12,3,570,2
2013,11,8,239,1
2013,11,25,232,1
2013,10,10,318,1
2013,10,10,312,1
2013,11,25,239,1
2013,10,11,380,4
2013,10,11,381,1
2013,10,11,382,1
2013,10,11,383,2
2013,10,11,384,7
2013,10,11,385,2
2013,10,11,386,6
2013,10,14,292,4
2013,10,11,388,3
2013,10,11,389,1
2013,12,12,639,1
2013,12,24,2335,11
2013,10,16,110,1
2013,10,1,2017,1
2013,10,16,119,1
2013,10,22,2344,1
2013,10,22,2343,1
2013,11,30,155,1
2013,10,8,603,1
2013,12,30,650,1
2013,11,5,2018,2
2013,10,2,934,1
2013,10,18,2302,5
2013,11,5,2015,7
2013,12,11,376,2
2013,12,17,895,1
2013,12,11,895,1
2013,12,14,409,1
2013,12,17,893,2
2013,12,14,405,1
2013,12,14,154,4
2013,12,15,914,2
2013,12,17,898,10
2013,12,15,910,3
2013,12,27,583,2
2013,10,28,463,1
2013,10,28,462,1
2013,12,27,584,1
2013,10,18,2303,3
2013,11,30,485,1
2013,12,13,837,3
2013,12,13,835,1
2013,11,30,376,1
2013,12,18,830,3
2013,12,18,833,3
2013,12,13,830,5
2013,12,18,839,8
2013,12,18,838,1
2013,10,3,298,1
2013,12,13,523,2
2013,11,2,901,3
2013,11,7,170,2
2013,11,12,309,1
2013,11,5,384,1
2013,11,7,178,1
2013,12,2,328,6
2013,12,12,850,5
2013,9,30,821,2
2013,12,13,839,8
2013,10,17,170,2
2013,10,17,172,1
2013,10,26,178,1
2013,12,17,277,3
2013,11,7,712,2
2013,11,5,569,1
2013,11,7,711,1
2013,11,5,190,1
2013,11,29,173,2
2013,11,29,172,1
2013,12,10,822,4
2013,12,10,821,7
2013,12,10,824,1
2013,12,10,825,6
2013,9,28,569,2
2013,12,15,771,1
2013,12,13,301,3
2013,11,11,621,1
2013,11,11,622,1
2013,12,11,777,5
2013,11,4,413,2
2013,12,28,161,1
2013,12,11,773,3
2013,12,11,771,9
2013,12,9,2303,1
2013,12,25,463,2
2013,12,9,2309,1
2013,10,14,624,1
2013,10,14,157,2
2013,10,14,622,1
2013,10,14,623,1
2013,11,23,328,5
2013,10,30,413,1
2013,10,30,410,2
2013,11,23,322,5
2013,11,23,323,7
2013,10,20,405,2
2013,11,23,321,4
2013,11,23,326,3
2013,10,16,2114,2
2013,10,29,846,1
2013,9,27,375,1
2013,10,29,843,1
2013,10,29,841,1
2013,10,9,2017,1
2013,10,21,326,1
2013,10,29,848,3
2013,10,9,2014,1
2013,12,4,583,3
2013,11,1,2334,3
2013,12,4,580,2
2013,11,1,2331,2
2013,12,16,119,2
2013,12,4,584,2
2013,12,4,858,1
2013,11,1,155,1
2013,12,16,111,1
2013,12,6,934,2
2013,12,6,935,1
2013,11,1,583,1
2013,12,10,318,1
2013,11,26,422,1
2013,12,10,313,1
2013,12,10,315,1
2013,10,27,580,2
2013,10,27,583,1
2013,10,27,584,1
2013,11,6,838,4
2013,11,10,869,1
2013,10,26,835,1
2013,12,1,2344,1
2013,10,1,871,2
2013,9,28,901,3
2013,9,28,906,1
2013,11,9,852,1
2013,11,9,851,1
2013,11,9,850,1
2013,9,30,350,1
2013,9,30,352,1
2013,12,19,366,5
2013,10,14,841,1
2013,12,19,360,7
2013,10,2,696,1
2013,12,17,2310,5
2013,12,19,363,2
2013,10,24,922,1
2013,10,24,924,4
2013,10,27,634,10
2013,10,31,328,5
2013,12,13,838,8
2013,10,1,310,1
2013,10,31,322,4
2013,10,31,323,1
2013,10,31,324,1
2013,12,5,778,1
2013,10,31,327,2
2013,12,14,895,2
2013,12,14,893,6
2013,12,16,2308,4
2013,12,16,2309,2
2013,10,28,851,1
2013,10,11,247,11
2013,12,16,2305,2
2013,10,28,678,1
2013,12,16,2303,4
2013,11,12,610,3
2013,12,14,898,15
2013,12,23,884,1
2013,11,7,922,2
2013,11,7,924,8
2013,10,16,852,1
2013,10,16,851,1
2013,10,10,121,3
2013,10,19,327,2
2013,10,10,123,1
2013,10,19,325,1
2013,10,19,322,8
2013,10,19,323,16
2013,10,19,321,7
2013,12,12,462,2
2013,12,12,465,1
2013,10,19,328,13
2013,10,19,329,4
2013,10,18,801,1
2013,10,18,805,1
2013,10,9,405,1
2013,10,5,398,1
2013,12,22,133,5
2013,12,22,132,1
2013,10,18,915,1
2013,10,16,583,1
2013,10,16,584,2
2013,12,22,136,2
2013,10,22,438,1
2013,12,9,750,1
2013,11,4,786,1
2013,10,18,911,1
2013,12,20,2329,5
2013,10,29,689,3
2013,12,8,634,7
2013,12,8,183,1
2013,12,8,181,1
2013,12,8,180,4
2013,12,8,184,3
2013,10,4,318,1
2013,10,16,329,8
2013,10,16,328,21
2013,12,16,292,8
2013,10,16,325,2
2013,10,16,324,4
2013,10,4,313,1
2013,11,10,261,1
2013,10,16,323,18
2013,10,16,322,8
2013,10,27,859,1
2013,12,27,172,1
2013,12,9,247,2
2013,11,26,162,1
2013,12,3,229,1
2013,11,8,455,1
2013,12,16,323,4
2013,12,16,322,4
2013,12,16,321,2
2013,12,16,326,5
2013,12,16,325,1
2013,12,16,324,4
2013,12,16,329,2
2013,12,16,328,8
2013,12,6,161,1
2013,9,28,355,1
2013,9,28,350,1
2013,11,9,689,1
2013,11,30,928,1
2013,12,27,398,4
2013,11,27,934,2
2013,12,10,127,1
2013,12,10,120,3
2013,11,30,924,2
2013,9,30,2302,2
2013,12,20,924,3
2013,12,20,922,1
2013,11,5,277,1
2013,11,28,608,1
2013,9,28,178,1
2013,11,25,2305,1
2013,12,4,119,1
2013,9,27,497,2
2013,12,10,360,3
2013,12,4,110,2
2013,12,4,111,1
2013,9,27,498,2
2013,10,6,298,1
2013,12,16,584,5
2013,12,16,851,4
2013,12,16,850,1
2013,12,16,580,2
2013,12,16,858,1
2013,12,17,512,1
2013,12,27,821,5
2013,12,27,822,3
2013,12,10,366,7
2013,12,27,825,5
2013,11,28,934,2
2013,10,9,180,1
2013,10,9,184,3
2013,12,9,910,6
2013,12,9,914,1
2013,10,21,2345,1
2013,11,4,209,1
2013,12,11,123,2
2013,12,11,120,1
2013,12,11,121,1
2013,12,11,127,2
