"Year","Month","Day","Hour","Line","BusId","NumberOfOutliers"
2013,12,16,17,2335,D87824,1
2013,12,30,23,850,D87492,1
2013,12,2,16,125,A71539,1
2013,12,17,12,2336,D87858,2
2013,11,8,6,170,A41004,1
2013,12,5,16,866,D86014,1
2013,12,23,5,512,A37582,1
2013,12,8,19,822,D87342,1
2013,12,21,17,125,A71595,1
2013,12,17,12,862,C47747,2
2013,12,13,12,2018,C41887,2
2013,12,17,20,868,D87406,1
2013,12,17,12,409,A71541,2
2013,10,7,19,2018,C41861,1
2013,12,23,3,184,A37533,1
2013,12,17,10,920,B63036,1
2013,10,17,21,898,D87227,1
2013,12,14,23,154,A37510,1
2013,11,26,13,2295,B31522,1
2013,10,14,17,924,B10192,2
2013,10,17,2,328,B10012,1
2013,12,16,19,397,D53603,1
2013,10,16,2,180,A37566,1
2013,12,12,15,825,D87269,1
2013,12,10,23,322,B10007,1
2013,12,11,22,382,C87178,1
2013,12,17,12,398,D87190,2
2013,12,11,9,395,D58674,1
2013,12,11,9,395,D58675,1
2013,12,11,9,395,D58676,1
2013,11,11,10,712,C44625,1
2013,11,1,6,623,B58130,1
2013,12,17,8,472,A29120,1
2013,12,1,13,915,B10141,1
2013,12,11,10,795,B32640,1
2013,10,16,19,324,B28585,1
2013,12,6,21,634,B10096,1
2013,11,30,19,184,A37634,1
2013,12,17,10,806,C39617,1
2013,12,15,21,898,D87533,2
2013,11,4,8,2145,B41801,1
2013,12,31,22,2335,D87833,1
2013,12,31,22,2335,D87832,1
2013,12,16,17,421,A27601,1
2013,11,4,3,910,B10150,1
2013,10,14,22,914,B10145,2
2013,12,31,18,110,A41072,1
2013,10,10,21,910,B10183,1
2013,12,26,4,570,A37644,1
2013,12,24,20,398,D87525,1
2013,12,17,15,226,A50053,1
2013,12,30,17,2335,D87836,1
2013,12,16,21,773,B11634,1
2013,12,24,20,398,D87521,1
2013,12,19,19,2336,D87754,1
2013,12,13,20,328,B10130,2
2013,10,6,20,322,B10086,2
2013,11,26,1,570,A37648,1
2013,12,31,21,2343,B28714,1
2013,12,11,23,584,A37662,1
2013,12,8,19,398,D87349,1
2013,12,14,13,840,D87453,1
2013,12,9,8,873,D90079,2
2013,12,27,23,382,C87018,1
2013,11,12,3,634,B10113,1
2013,11,7,15,322,B10137,1
2013,11,30,15,321,B28502,1
2013,12,14,20,360,C87394,2
2013,11,3,15,323,B10074,1
2013,12,28,12,366,D87084,1
2013,11,9,22,119,A37541,1
2013,11,1,20,328,B10002,1
2013,12,17,16,378,B11534,1
2013,12,23,15,650,B42620,1
2013,12,9,15,839,D87328,1
2013,12,17,10,426,A48003,1
2013,12,17,16,765,C30052,1
2013,12,16,20,413,A48014,1
2013,12,18,1,898,D87227,1
2013,12,20,4,322,B10086,2
2013,10,29,15,689,D81120,1
2013,12,16,19,173,A41328,1
2013,12,22,22,315,C41400,1
2013,12,23,11,396,D53668,1
2013,10,1,16,330,B28554,1
2013,10,1,16,2343,B28737,1
2013,11,7,22,915,B10137,1
2013,10,29,17,313,B58145,1
2013,12,17,11,401,A48007,1
2013,11,9,13,465,C30134,2
2013,11,11,18,393,D53522,1
2013,11,30,15,327,B10051,1
2013,12,17,23,934,B10018,1
2013,11,3,12,178,A41356,1
2013,12,17,12,2381,D86749,2
2013,10,29,20,323,B10080,2
2013,12,29,21,839,D87314,1
2013,10,2,11,867,D86299,1
2013,11,26,17,906,B31117,1
2013,10,3,2,184,A37634,1
2013,10,19,6,635,B10015,2
2013,12,17,12,435,A55128,2
2013,10,1,13,750,D87063,1
2013,10,11,22,690,C20104,1
2013,11,26,21,328,B10113,1
2013,12,16,15,222,A27508,1
2013,11,28,20,2018,C41887,2
2013,10,1,4,161,A37713,1
2013,10,1,19,2302,B31541,1
2013,12,17,10,841,D87135,1
2013,12,17,10,378,B11578,1
2013,10,10,7,247,B71125,1
2013,12,8,23,840,D87449,1
2013,11,27,19,386,B60075,1
2013,12,17,10,378,B11576,1
2013,12,6,22,901,B10063,1
2013,10,30,21,901,B10193,1
2013,10,30,9,313,B58089,1
2013,10,1,17,348,C47631,1
2013,10,6,20,910,B10158,1
2013,12,16,15,498,B31086,1
2013,10,27,12,170,A41011,1
2013,10,6,20,910,B10155,1
2013,10,1,19,120,A71534,1
2013,12,7,22,324,B28560,1
2013,10,23,21,635,B10015,1
2013,12,16,14,378,B11542,1
2013,12,18,2,328,B10192,1
2013,10,18,20,292,B55142,1
2013,11,2,1,323,B10090,2
2013,11,8,20,378,B11534,1
2013,11,8,5,110,A41048,1
2013,12,16,17,2381,D86768,1
2013,12,31,12,922,B10163,1
2013,11,25,16,498,B31051,1
2013,11,6,15,873,D90072,1
2013,10,11,19,397,D53682,2
2013,12,14,23,161,A37684,1
2013,12,17,16,771,D87350,1
2013,10,21,18,859,C20247,1
2013,12,30,20,125,A71595,1
2013,10,1,18,232,B25528,1
2013,10,28,5,217,A71597,1
2013,12,24,22,2336,D87747,1
2013,11,12,19,821,D87360,1
2013,11,2,11,934,B10018,2
2013,10,1,5,128,A41326,1
2013,11,5,14,2295,B31515,2
2013,12,8,5,771,D87792,1
2013,10,24,5,910,B10156,1
2013,12,9,20,910,B10066,1
2013,12,16,15,397,D53685,1
2013,11,2,20,322,B10161,1
2013,10,6,14,634,B10015,2
2013,10,8,21,324,B28560,1
2013,12,12,19,822,D87335,1
2013,11,8,4,924,B10083,1
2013,12,23,23,2345,C12515,1
2013,12,21,1,898,D87260,1
2013,9,28,18,119,A37585,1
2013,11,4,23,910,B10037,1
2013,12,7,15,839,D87129,1
2013,12,12,6,634,B10171,1
2013,10,20,12,701,C20138,2
2013,12,19,23,2333,C87846,1
2013,12,31,15,2344,B28726,1
2013,10,19,9,915,B10044,1
2013,10,14,18,485,B31069,1
2013,12,11,9,615,B32668,1
2013,12,9,19,910,B10168,1
2013,10,11,20,362,B11683,1
2013,12,16,17,332,C47651,1
2013,12,14,16,634,B10126,1
2013,11,12,5,634,B10096,2
2013,11,10,17,934,B10018,2
2013,10,19,10,910,B10078,1
2013,9,30,14,497,B31028,1
2013,10,19,10,910,B10074,1
2013,12,14,22,749,C39626,1
2013,12,17,16,749,C39740,1
2013,11,25,11,239,B71150,1
2013,12,12,15,849,D87431,1
2013,12,12,14,895,D87498,1
2013,12,16,10,2345,C12515,1
2013,12,11,10,460,A41276,1
2013,10,15,22,924,B10192,2
2013,12,17,10,457,B42563,1
2013,12,3,10,650,B42620,1
2013,12,26,16,2345,C12515,1
2013,12,18,21,898,D87427,1
2013,11,7,17,261,B60068,1
2013,12,15,17,328,B10168,1
2013,11,12,7,181,A41321,2
2013,12,30,9,125,A71595,1
2013,12,31,16,839,D87328,1
2013,12,13,14,111,A41175,1
2013,12,30,9,634,B10133,1
2013,12,1,10,322,B10137,1
2013,10,27,17,634,B10069,1
2013,12,17,16,734,C30116,1
2013,10,14,17,783,C44589,1
2013,12,1,17,362,B11609,1
2013,12,17,8,2305,B32609,1
2013,10,20,17,337,C20087,2
2013,12,11,19,821,D87359,1
2013,10,11,19,350,B73064,1
2013,12,10,5,155,A37715,1
2013,10,11,19,350,B73069,1
2013,12,4,3,2018,C41887,1
2013,12,30,20,822,D87336,1
2013,9,27,23,382,C87344,1
2013,11,2,20,133,A37671,1
2013,10,9,5,328,B10182,1
2013,10,1,17,380,C20153,1
2013,12,18,23,840,D87229,1
2013,12,17,10,906,B31137,1
2013,12,26,2,180,A37682,1
2013,12,26,10,308,C21040,1
2013,12,17,10,2017,A41818,1
2013,10,11,19,498,B31076,1
2013,12,17,11,2015,A41835,2
2013,12,16,15,910,B10152,1
2013,11,12,19,323,B10051,1
2013,12,31,14,154,A37548,1
2013,12,22,20,822,D87221,1
2013,11,29,17,484,B31125,1
2013,10,19,8,635,B10015,1
2013,11,24,4,342,B32572,1
2013,12,11,9,777,D58608,1
2013,12,19,2,934,B10018,1
2013,10,17,19,322,B10127,1
2013,12,16,16,132,A41364,1
2013,12,24,13,366,D87089,1
2013,12,23,23,893,D87488,1
2013,11,7,15,328,B10002,1
2013,12,8,9,830,D87493,1
2013,12,14,19,898,D87534,1
2013,12,11,16,752,D90052,1
2013,10,14,16,852,D86243,1
2013,12,13,5,121,A41215,1
2013,11,12,10,2381,D86792,1
2013,11,12,10,2381,D86790,1
2013,10,17,22,901,B10138,1
