"Year","Month","Day","Hour","Line","NumberOfOutliers"
2013,12,3,13,322,1
2013,12,11,10,2305,1
2013,12,11,10,2307,1
2013,12,11,10,2309,2
2013,12,11,10,2308,2
2013,12,23,16,839,1
2013,11,10,5,634,1
2013,10,6,19,634,6
2013,10,22,7,376,3
2013,10,22,7,373,1
2013,12,17,16,2308,2
2013,12,22,21,321,1
2013,11,2,8,915,1
2013,12,22,21,324,2
2013,11,2,8,910,1
2013,12,22,21,328,1
2013,12,22,21,329,1
2013,11,27,23,327,1
2013,12,11,7,2310,4
2013,12,30,8,308,1
2013,10,16,18,315,2
2013,10,3,17,298,1
2013,10,22,9,857,1
2013,10,6,19,183,1
2013,10,5,23,910,2
2013,10,5,23,915,1
2013,12,22,22,653,1
2013,12,22,22,650,1
2013,11,27,18,435,1
2013,12,21,9,315,1
2013,10,4,23,362,1
2013,9,28,20,119,1
2013,11,23,13,650,1
2013,10,9,7,924,2
2013,10,10,5,915,2
2013,9,28,22,898,1
2013,10,10,5,910,10
2013,12,30,17,405,1
2013,10,24,5,924,2
2013,12,23,1,850,1
2013,10,2,16,2801,2
2013,10,6,17,184,1
2013,12,16,14,335,1
2013,12,16,14,337,1
2013,10,6,17,181,2
2013,12,16,14,338,1
2013,12,17,16,249,4
2013,10,27,16,318,1
2013,12,25,22,463,1
2013,10,16,10,2343,1
2013,12,8,17,898,2
2013,9,28,21,915,3
2013,12,21,17,821,2
2013,11,28,22,924,2
2013,12,21,17,822,1
2013,11,11,22,910,2
2013,11,11,22,915,1
2013,12,17,8,323,3
2013,12,31,19,2335,1
2013,12,30,20,409,1
2013,12,31,19,2336,3
2013,12,31,19,2333,3
2013,11,23,23,483,1
2013,12,6,2,635,1
2013,10,16,18,2114,1
2013,11,2,14,601,2
2013,10,16,18,2112,1
2013,12,13,18,455,1
2013,11,28,1,924,1
2013,12,4,11,583,1
2013,11,1,23,924,6
2013,12,10,22,804,5
2013,10,20,16,2018,2
2013,11,25,23,433,1
2013,12,13,22,570,1
2013,12,22,4,513,1
2013,12,22,4,512,1
2013,12,6,23,840,2
2013,11,27,22,328,1
2013,12,27,9,650,1
2013,12,18,12,915,2
2013,11,5,2,584,1
2013,10,9,22,910,4
2013,10,16,5,651,2
2013,12,21,19,869,2
2013,12,31,7,342,1
2013,10,30,19,330,1
2013,12,22,14,821,1
2013,12,17,11,472,8
2013,12,17,11,475,1
2013,11,25,21,639,1
2013,12,17,11,476,4
2013,12,12,4,922,1
2013,11,2,5,512,3
2013,11,5,1,322,2
2013,9,27,12,915,2
2013,9,30,13,378,1
2013,10,3,9,170,2
2013,10,9,14,873,1
2013,10,2,3,924,3
2013,10,1,18,2302,2
2013,11,3,10,173,1
2013,10,1,18,2309,1
2013,11,2,22,326,2
2013,11,8,23,898,1
2013,10,26,23,161,1
2013,10,28,4,180,2
2013,10,2,4,924,2
2013,10,2,4,922,2
2013,12,18,22,2329,2
2013,12,20,14,895,1
2013,12,10,15,910,1
2013,10,1,16,394,1
2013,12,9,4,366,2
2013,10,15,21,924,7
2013,11,29,9,650,1
2013,11,5,1,584,1
2013,10,2,6,173,1
2013,12,22,6,322,1
2013,12,11,9,484,2
2013,12,24,15,650,1
2013,12,19,20,217,1
2013,12,23,23,382,2
